system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline,chunk_config
rag_gpt_tfidf_top3,108,0.0,0.0002258355916892,0.0,0.0,,,,0.2168934073264676,0.0093518254278158,0.3415559526981302,256.0,3.712962962962963,7.5432144712518765,2423.184212697761,0.2037037037037037,0.2222222222222222,0.3611111111111111,1.0,1.0,0.0,,312.25561251017234,fixed_512
random_context_gpt,108,0.0,0.0042878369221747,0.0,0.0,,,,0.3709545548039454,0.0,0.4457940286611793,256.0,6.398148148148148,7.520683818393284,2344.683811920029,0.0,0.0,0.0,0.3518518518518518,0.3518518518518518,0.0,,233.75521173244033,fixed_512
baseline_gpt,108,0.0,0.0095470873488536,0.0,0.0,,,,0.3879245553959023,0.0,0.4383505294789319,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0,section_180
oracle_gpt,108,0.0,0.015534651432913,0.0,0.0,,,,0.669668663551824,0.0,0.7260891397449153,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798,section_180
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.205035719330664,0.0049251110844865,0.3656345132427911,233.11111111111111,4.166666666666667,7.513816166807104,2376.4904286979877,0.1111111111111111,0.2407407407407407,0.2407407407407407,1.0,1.0,0.287037037037037,,265.5618285103992,section_180
random_context_gpt,108,0.0,0.0058229545093182,0.0,0.0,,,,0.2900611792035676,0.0,0.3543504099189131,256.0,6.203703703703703,7.507431308428447,2310.4227346938337,0.0,0.0,0.0,0.2592592592592592,0.2592592592592592,0.5370370370370371,,199.49413450624525,section_180
baseline_gpt,108,0.0,0.0095470873488536,0.0,0.0,,,,0.2770882238185516,0.0,0.3194864444020722,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0,table_aware_clean
oracle_gpt,108,0.0,0.015534651432913,0.0,0.0,,,,0.4874293961113802,0.0,0.5358347302578665,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798,table_aware_clean
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.1465600232455741,0.010348384320322,0.2350266264682566,255.92592592592592,3.712962962962963,7.572985229668794,2557.8041358339797,0.3055555555555556,0.3981481481481481,0.3981481481481481,1.0,1.0,0.3611111111111111,,446.8755356463912,table_aware_clean
random_context_gpt,108,0.0,0.0055916681856872,0.0,0.0,,,,0.2909429892552672,0.0,0.3350140542757732,256.0,7.453703703703703,7.526266332025881,2330.605033299982,0.0,0.0092592592592592,0.0092592592592592,0.3888888888888889,0.3888888888888889,0.3703703703703703,,219.67643311239362,table_aware_clean
